RecID,Release year,Rank,Title,Studio,Clean release date,Tickets sold,Bechdel Test Result,Executive Producer 1,Executive Producer 2,Executive Producer 3,Executive Producer 4,Executive Producer 5,Executive Producer 6,Executive Producer 7,Executive Producer 8,Executive Producer 9,Director 1,Director 2,Director 3
318,2012,18,Les Miserables (2012),Uni.,12/25/2012,18694695,Pass,Liza Chasin,F. Richard Pappas,Angela Morrison,Nicholas Allott,,,,,,Tom Hooper,,
319,2012,19,Hotel Transylvania,Sony,9/28/2012,18632293,Pass,Adam Sandler,Robert Smigel,,,,,,,,Genndy Tartakovsky,,
320,2012,20,Taken 2,Fox,10/5/2012,17569635,Fail,,,,,,,,,,,,
321,2012,21,21 Jump Street,Sony,3/16/2012,17392923,Fail,,,,,,,,,,,,
322,2012,22,Argo,WB,10/12/2012,17088632,Pass,Chris Brigham,Chay Carter,Tim Headington,Graham King,David Klawans,Nina Wolarsky,,,,Ben Affleck,,
323,2012,23,Silver Linings Playbook,Wein.,11/16/2012,16594593,Pass,Bradley Cooper,George Parra,Michelle Raimo,Bob Weinstein,Harvey Weinstein,Renee Witt,,,,David O. Russell,,
324,2012,24,Prometheus,Fox,6/8/2012,15889081,Pass,Damon Lindelof,Mark Huffam,Michael Costigan,Michael Ellenberg,,,,,,Ridley Scott,,
325,2012,25,Safe House,Uni.,2/10/2012,15876060,No Data,,,,,,,,,,,,
326,2013,1,The Hunger Games: Catching Fire,LGF,11/22/2013,52234693,Pass,Suzanne Collins,Allison Shearmur,Joe Drake,Louise Rosner,,,,,,Francis Lawrence,,
327,2013,2,Iron Man 3,BV,5/3/2013,50309225,Fail,,,,,,,,,,,,
328,2013,3,Frozen,BV,11/22/2013,49291269,Pass,John Lasseter,,,,,,,,,Chris Buck,Jennifer Lee,
329,2013,4,Despicable Me 2,Uni.,7/3/2013,45271989,Pass,Chris Meledandri,Janet Healy,,,,,,,,Pierre Coffin,Chris Renaud,
330,2013,5,Man of Steel,WB,6/14/2013,35798957,Pass,Jon Peters,Thomas Tull,Lloyd Phillips,,,,,,,Zack Snyder,,
331,2013,6,Gravity,WB,10/4/2013,33713740,Fail,,,,,,,,,,,,
332,2013,7,Monsters University,BV,6/21/2013,33024941,Fail,,,,,,,,,,,,
333,2013,8,The Hobbit: The Desolation of Smaug,WB (NL),12/13/2013,31779441,Fail,,,,,,,,,,,,
334,2013,9,Fast & Furious 6,Uni.,5/24/2013,29357916,Pass,Justin Lin,Justin Lin,Samantha Vincent,Amanda Lewis,,,,,,Justin Lin,,
335,2013,10,Oz The Great and Powerful,BV,3/8/2013,28894444,Pass,Palak Patel,Grant Curtis,Philip Steuer,Joshua Donen,,,,,,Sam Raimi,,
336,2013,11,Star Trek Into Darkness,Par.,5/16/2013,28140057,Fail,,,,,,,,,,,,
337,2013,12,Thor: The Dark World,BV,11/8/2013,25382798,Fail,,,,,,,,,,,,
338,2013,13,World War Z,Par.,6/21/2013,24890494,Fail,,,,,,,,,,,,
339,2013,14,The Croods,Fox,3/22/2013,23021947,Fail,,,,,,,,,,,,
340,2013,15,The Heat,Fox,6/28/2013,19628806,Pass,Paul Feig,Dylan Clark,Michele Imperato,,,,,,,Paul Feig,,
341,2013,16,We're the Millers,WB (NL),8/7/2013,18498662,Pass,Richard Brener,Toby Emmerich,David Heyman,Dave Neustadter,J.C. Spink,Marcus Viscidi,,,,Rawson Marshall Thurber,,
342,2013,17,American Hustle,Sony,12/13/2013,18464675,Pass,Bradley Cooper,Eric Singer,George Parra,Matthew Budman,,,,,,David O. Russell,,
343,2013,18,The Great Gatsby (2013),WB,5/10/2013,17815550,Pass,Jay Z,Barrie M. Osborne,Bruce Berman,,,,,,,Baz Luhrmann,,
344,2013,19,The Conjuring,WB (NL),7/19/2013,16900387,Pass,Walter Hamada,Dave Neustadter,,,,,,,,James Wan,,
345,2013,20,Identity Thief,Uni.,2/8/2013,16544517,Fail,,,,,,,,,,,,
346,2013,21,Grown Ups 2,Sony,7/12/2013,16441393,Fail,,,,,,,,,,,,
347,2013,22,The Wolverine,Fox,7/26/2013,16304656,Pass,Stan Lee,Joseph M. Caracciolo Jr.,,,,,,,,James Mangold,,
348,2013,23,Anchorman 2: The Legend Continues,Par.,12/18/2013,15395864,Pass,Jessica Elbaum,Kevin J. Messick,David B. Householter,,,,,,,Adam McKay,,
349,2013,24,Lone Survivor,Uni.,12/25/2013,15386913,No Data,,,,,,,,,,,,
350,2013,25,G.I. Joe: Retaliation,Par.,3/28/2013,15070488,Pass,Gary Barber,Roger Birnbaum,David Ellison,Herb Gains,Dana Goldberg,Erik Howsam,Paul Schwake,Stephen Sommers,,Jon M. Chu,,
