RecID,Release year,Rank,Title,Studio,Release_date,Tickets_sold,Bechdel_Test_Result,Executive_Prod_1,Executive_Prod_2,Executive_Prod_3,Executive_Prod_4,Executive_Prod_5,Executive_Prod_6,Executive_Prod_7,Executive_Prod_8,Executive_Prod_9,Director_1,Director_2,Director_3
237,2009,12,Ice Age: Dawn of the Dinosaurs,Fox,7/1/09,26209828,Fail,,,,,,,,,,,,
238,2009,13,X-Men Origins: Wolverine,Fox,5/1/09,23984421,Fail,,,,,,,,,,,,
239,2009,14,Night at the Museum: Battle of the Smithsonian,Fox,5/22/09,23632497,Pass,Mark Radcliffe,Josh McLaglen,Thomas M. Hammel,,,,,,,Shawn Levy,,
240,2009,15,2012,Sony,11/13/09,22148289,Fail,,,,,,,,,,,,
241,2009,16,The Proposal,BV,6/19/09,21861071,Fail,,,,,,,,,,,,
242,2009,17,Fast and Furious,Uni.,4/3/09,20675236,No Data,,,,,,,,,,,,
243,2009,18,G.I. Joe: The Rise of Cobra,Par.,8/7/09,20026867,Fail,,,,,,,,,,,,
244,2009,19,Paul Blart: Mall Cop,Sony,1/16/09,19511491,No Data,,,,,,,,,,,,
245,2009,20,Taken,Fox,1/30/09,19333466,Pass,Didier Hoarau,,,,,,,,,Pierre Morel,,
246,2009,21,A Christmas Carol (2009),BV,11/6/09,18380782,No Data,,,,,,,,,,,,
247,2009,22,Angels & Demons,Sony,5/15/09,17783447,Fail,,,,,,,,,,,,
248,2009,23,Terminator Salvation,WB,5/21/09,16709663,Fail,,,,,,,,,,,,
249,2009,24,Cloudy with a Chance of Meatballs,Sony,9/18/09,16649370,Fail,,,,,,,,,,,,
250,2009,25,Inglourious Basterds,Wein.,8/21/09,16072096,Fail,,,,,,,,,,,,
251,2010,1,Toy Story 3,BV,6/18/10,52598845,Fail,,,,,,,,,,,,
252,2010,2,Alice in Wonderland (2010),BV,3/5/10,42356288,Pass,Chris Lebenzon,Peter M. Tobyansen,,,,,,,,Tim Burton,,
253,2010,3,Iron Man 2,Par.,5/7/10,39598648,Pass,Louis D'Esposito,Susan Downey,Jon Favreau,Alan Fine,Stan Lee,David Maisel,Denis L. Stewart,,,Jon Favreau,,
254,2010,4,The Twilight Saga: Eclipse,Sum.,6/30/10,38090210,Pass,Mark Morgan,Greg Mooradian,Marty Bowen,Guy Oseary,,,,,,David Slade,,
255,2010,5,Harry Potter and the Deathly Hallows Part 1,WB,11/19/10,37513727,Pass,J. K. Rowling,David Heyman,David Barron,,,,,,,David Yates,,
256,2010,6,Inception,WB,7/16/10,37081901,Fail,,,,,,,,,,,,
257,2010,7,Despicable Me,Uni.,7/9/10,31877565,Pass,Chris Meledandri,Janet Healy,Janet Healy,,,,,,,Pierre Coffin,Chris Renaud,
258,2010,8,Shrek Forever After,P/DW,5/21/10,30258148,Fail,,,,,,,,,,,,
259,2010,9,How to Train Your Dragon,P/DW,3/26/10,27576836,Pass,Bonnie Arnold,,,,,,,,,Dean DeBlois,Chris Sanders,
260,2010,10,Tangled,BV,11/24/10,25452717,Pass,Roy Conli,,,,,,,,,Nathan Greno,Byron Howard,
261,2010,11,The Karate Kid,Sony,6/11/10,22381701,Fail,,,,,,,,,,,,
262,2010,12,Tron Legacy,BV,12/17/10,21807702,Fail,,,,,,,,,,,,
263,2010,13,True Grit,Par.,12/22/10,21703803,Pass,David Ellison,Megan Ellison,Robert Graf,Paul Schwake,Steven Spielberg,,,,,Ethan Coen,Joel Coen,
264,2010,14,Clash of the Titans (2010),WB,4/2/10,20686298,Pass,Brenda Berrisford,William Fay,Jon Jashni,Thomas Tull,Richard D. Zanuck,,,,,Louis Leterrier,,
265,2010,15,Grown Ups,Sony,6/25/10,20532470,Pass,Adam Sandler,Jack Giarraputo,,,,,,,,Dennis Dugan,,
266,2010,16,Little Fockers,Uni.,12/22/10,18813511,Pass,Ryan Kavanaugh,Daniel Lupi,Meghan Lyvers,Andrew Miano,Nancy Tenenbaum,,,,,Paul Weitz,,
267,2010,17,Megamind,P/DW,11/5/10,18810628,Fail,,,,,,,,,,,,
268,2010,18,The King's Speech,Wein.,11/26/10,17167699,Pass,Paul Brett,Mark Foligno,Geoffrey Rush,Tim Smith,Bob Weinstein,Harvey Weinstein,,,,Tom Hooper,,
269,2010,19,The Last Airbender,Par.,7/1/10,16701165,Fail,,,,,,,,,,,,
270,2010,20,Shutter Island,Par.,2/19/10,16224707,Fail,,,,,,,,,,,,
271,2010,21,The Other Guys,Sony,8/6/10,15110264,Fail,,,,,,,,,,,,
272,2010,22,Salt,Sony,7/23/10,14995104,Pass,Mark Vahradian,Ryan Kavanaugh,Ric Kidney,,,,,,,Phillip Noyce,,
273,2010,23,Jackass 3-D,Par.,10/15/10,14858010,No Data,,,,,,,,,,,,
274,2010,24,Valentine's Day,WB (NL),2/12/10,14003252,Pass,Diana Pokorny,Samuel J. Brown,Michael Disco,,,,,,,Garry Marshall,,
275,2010,25,Black Swan,FoxS,12/3/10,13555726,Pass,Jon Avnet,Brad Fischer,Peter Fruchtman,,,,,,,Darren Aronofsky,,
276,2011,1,Harry Potter and the Deathly Hallows Part 2,WB,7/15/11,48046812,Pass,David Heyman,Lionel Wigram,,,,,,,,David Yates,,
277,2011,2,Transformers: Dark of the Moon,P/DW,6/29/11,44437648,Pass,Michael Bay,Steven Spielberg,Brian Goldner,Mark Vahradian,,,,,,Michael Bay,,
278,2011,3,The Twilight Saga: Breaking Dawn Part 1,Sum.,11/18/11,35471266,Pass,Mark Morgan,,,,,,,,,Bill Condon,,
279,2011,4,The Hangover Part II,WB,5/26/11,32088816,Fail,,,,,,,,,,,,
280,2011,5,Pirates of the Caribbean: On Stranger Tides,BV,5/20/11,30399976,Fail,,,,,,,,,,,,
281,2011,6,Fast Five,Uni.,4/29/11,26461246,Pass,Justin Lin,Samantha Vincent,Amanda Lewis,,,,,,,Justin Lin,,
282,2011,7,Mission: Impossible - Ghost Protocol,Par.,12/16/11,26405789,Fail,,,,,,,,,,,,
283,2011,8,Cars 2,BV,6/24/11,24142799,Fail,,,,,,,,,,,,
284,2011,9,Sherlock Holmes: A Game of Shadows,WB,12/16/11,23562222,Fail,,,,,,,,,,,,
285,2011,10,Thor,Par.,5/6/11,22828579,Pass,Louis D'Esposito,Alan Fine,Stan Lee,David Maisel,Patricia Whitcher,,,,,Kenneth Branagh,,
286,2011,11,Rise of the Planet of the Apes,Fox,8/5/11,22290062,Fail,,,,,,,,,,,,
287,2011,12,Captain America: The First Avenger,Par.,7/22/11,22276735,Fail,,,,,,,,,,,,
288,2011,13,The Help,BV,8/10/11,21400771,Pass,Mohamed Khalaf Al-Mazrouei,Nate Berkus,Jennifer Blum,L. Dean Jones Jr.,John Norris,Mark Radcliffe,Jeff Skoll,Tate Taylor,,Tate Taylor,,
289,2011,14,Bridesmaids,Uni.,5/13/11,21324934,Pass,Paul Feig,,,,,,,,,Paul Feig,,
290,2011,15,Kung Fu Panda 2,P/DW,5/26/11,20838470,Pass,Melissa Cobb,,,,,,,,,Jennifer Yuh Nelson,,
291,2011,16,Puss in Boots,P/DW,10/28/11,18822258,Fail,,,,,,,,,,,,
292,2011,17,X-Men: First Class,Fox,6/3/11,18462586,Pass,Josh McLaglen,Stan Lee,Tarquin Pack,,,,,,,Matthew Vaughn,,
293,2011,18,Rio,Fox,4/15/11,18110947,Fail,,,,,,,,,,,,
294,2011,19,The Smurfs,Sony,7/29/11,17984131,Pass,Ezra Swerdlow,Ben Haber,Paul Neesan,,,,,,,Raja Gosnell,,
295,2011,20,Alvin and the Chipmunks: Chipwrecked,Fox,12/16/11,16785718,Pass,Arnon Milchan,Karen Rosenfelt,Steve Waterman,Neil A. Machlis,,,,,,Mike Mitchell,,
296,2011,21,Super 8,Par.,6/10/11,16015660,Pass,Guy Riedel,,,,,,,,,J.J. Abrams,,
297,2011,22,Rango,Par.,3/4/11,15570947,Fail,,,,,,,,,,,,
298,2011,23,Horrible Bosses,WB (NL),7/8/11,14822013,Pass,Richard Brener,Samuel J. Brown,Michael Disco,Toby Emmerich,Diana Pokorny,,,,,Seth Gordon,,
299,2011,24,Green Lantern,WB,6/17/11,14703805,Fail,,,,,,,,,,,,
300,2011,25,Hop,Uni.,4/1/11,13629925,Fail,,,,,,,,,,,,
301,2012,1,Marvel's The Avengers,BV,5/4/12,78311296,Fail,,,,,,,,,,,,
302,2012,2,The Dark Knight Rises,WB,7/20/12,56298882,Fail,,,,,,,,,,,,
303,2012,3,The Hunger Games,LGF,3/23/12,51257625,Pass,Suzanne Collins,Robin Bissell,Louise Rosner,,,,,,,Gary Ross,,
304,2012,4,Skyfall,Sony,11/9/12,38236216,Fail,,,,,,,,,,,,
305,2012,5,The Hobbit: An Unexpected Journey,WB (NL),12/14/12,38065775,Fail,,,,,,,,,,,,
306,2012,6,The Twilight Saga: Breaking Dawn Part 2,LG/S,11/16/12,36724214,Pass,Mark Morgan,Guy Oseary,Marty Bowen,Greg Mooradian,,,,,,Bill Condon,,
307,2012,7,The Amazing Spider-Man,Sony,7/3/12,32918425,Fail,,,,,,,,,,,,
308,2012,8,Brave,BV,6/22/12,29809449,Pass,Pete Docter,John Lasseter,Andrew Stanton,,,,,,,Mark Andrews,Brenda Chapman,Steve Purcell
309,2012,9,Ted,Uni.,6/29/12,27489383,Fail,,,,,,,,,,,,
310,2012,10,Madagascar 3: Europe's Most Wanted,P/DW,6/8/12,27184860,Fail,,,,,,,,,,,,
311,2012,11,Dr. Seuss' The Lorax,Uni.,3/2/12,26888254,Fail,,,,,,,,,,,,
312,2012,12,Wreck-It Ralph,BV,11/2/12,23796846,Pass,John Lasseter,,,,,,,,,Rich Moore,,
313,2012,13,Lincoln,BV,11/9/12,22890449,Pass,Daniel Lupi,Jeffrey Skoll,Jonathan King,,,,,,,Steven Spielberg,,
314,2012,14,MIB 3,Sony,5/25/12,22490058,Fail,,,,,,,,,,,,
315,2012,15,Django Unchained,Wein.,12/25/12,20452944,Fail,,,,,,,,,,,,
316,2012,16,Ice Age: Continental Drift,Fox,7/13/12,20266564,No Data,,,,,,,,,,,,
317,2012,17,Snow White and the Huntsman,Uni.,6/1/12,19514119,Pass,Gloria Borders,,,,,,,,,Rupert Sanders,,
318,2012,18,Les Miserables (2012),Uni.,12/25/12,18694695,Pass,Liza Chasin,F. Richard Pappas,Angela Morrison,Nicholas Allott,,,,,,Tom Hooper,,
319,2012,19,Hotel Transylvania,Sony,9/28/12,18632293,Pass,Adam Sandler,Robert Smigel,,,,,,,,Genndy Tartakovsky,,
320,2012,20,Taken 2,Fox,10/5/12,17569635,Fail,,,,,,,,,,,,
321,2012,21,21 Jump Street,Sony,3/16/12,17392923,Fail,,,,,,,,,,,,
322,2012,22,Argo,WB,10/12/12,17088632,Pass,Chris Brigham,Chay Carter,Tim Headington,Graham King,David Klawans,Nina Wolarsky,,,,Ben Affleck,,
323,2012,23,Silver Linings Playbook,Wein.,11/16/12,16594593,Pass,Bradley Cooper,George Parra,Michelle Raimo,Bob Weinstein,Harvey Weinstein,Renee Witt,,,,David O. Russell,,
324,2012,24,Prometheus,Fox,6/8/12,15889081,Pass,Damon Lindelof,Mark Huffam,Michael Costigan,Michael Ellenberg,,,,,,Ridley Scott,,
325,2012,25,Safe House,Uni.,2/10/12,15876060,No Data,,,,,,,,,,,,
326,2013,1,The Hunger Games: Catching Fire,LGF,11/22/13,52234693,Pass,Suzanne Collins,Allison Shearmur,Joe Drake,Louise Rosner,,,,,,Francis Lawrence,,
327,2013,2,Iron Man 3,BV,5/3/13,50309225,Fail,,,,,,,,,,,,
328,2013,3,Frozen,BV,11/22/13,49291269,Pass,John Lasseter,,,,,,,,,Chris Buck,Jennifer Lee,
329,2013,4,Despicable Me 2,Uni.,7/3/13,45271989,Pass,Chris Meledandri,Janet Healy,,,,,,,,Pierre Coffin,Chris Renaud,
330,2013,5,Man of Steel,WB,6/14/13,35798957,Pass,Jon Peters,Thomas Tull,Lloyd Phillips,,,,,,,Zack Snyder,,
331,2013,6,Gravity,WB,10/4/13,33713740,Fail,,,,,,,,,,,,
332,2013,7,Monsters University,BV,6/21/13,33024941,Fail,,,,,,,,,,,,
333,2013,8,The Hobbit: The Desolation of Smaug,WB (NL),12/13/13,31779441,Fail,,,,,,,,,,,,
334,2013,9,Fast & Furious 6,Uni.,5/24/13,29357916,Pass,Justin Lin,Justin Lin,Samantha Vincent,Amanda Lewis,,,,,,Justin Lin,,
335,2013,10,Oz The Great and Powerful,BV,3/8/13,28894444,Pass,Palak Patel,Grant Curtis,Philip Steuer,Joshua Donen,,,,,,Sam Raimi,,
336,2013,11,Star Trek Into Darkness,Par.,5/16/13,28140057,Fail,,,,,,,,,,,,
337,2013,12,Thor: The Dark World,BV,11/8/13,25382798,Fail,,,,,,,,,,,,
338,2013,13,World War Z,Par.,6/21/13,24890494,Fail,,,,,,,,,,,,
339,2013,14,The Croods,Fox,3/22/13,23021947,Fail,,,,,,,,,,,,
340,2013,15,The Heat,Fox,6/28/13,19628806,Pass,Paul Feig,Dylan Clark,Michele Imperato,,,,,,,Paul Feig,,
341,2013,16,We're the Millers,WB (NL),8/7/13,18498662,Pass,Richard Brener,Toby Emmerich,David Heyman,Dave Neustadter,J.C. Spink,Marcus Viscidi,,,,Rawson Marshall Thurber,,
342,2013,17,American Hustle,Sony,12/13/13,18464675,Pass,Bradley Cooper,Eric Singer,George Parra,Matthew Budman,,,,,,David O. Russell,,
343,2013,18,The Great Gatsby (2013),WB,5/10/13,17815550,Pass,Jay Z,Barrie M. Osborne,Bruce Berman,,,,,,,Baz Luhrmann,,
344,2013,19,The Conjuring,WB (NL),7/19/13,16900387,Pass,Walter Hamada,Dave Neustadter,,,,,,,,James Wan,,
345,2013,20,Identity Thief,Uni.,2/8/13,16544517,Fail,,,,,,,,,,,,
346,2013,21,Grown Ups 2,Sony,7/12/13,16441393,Fail,,,,,,,,,,,,
347,2013,22,The Wolverine,Fox,7/26/13,16304656,Pass,Stan Lee,Joseph M. Caracciolo Jr.,,,,,,,,James Mangold,,
348,2013,23,Anchorman 2: The Legend Continues,Par.,12/18/13,15395864,Pass,Jessica Elbaum,Kevin J. Messick,David B. Householter,,,,,,,Adam McKay,,
349,2013,24,Lone Survivor,Uni.,12/25/13,15386913,No Data,,,,,,,,,,,,
350,2013,25,G.I. Joe: Retaliation,Par.,3/28/13,15070488,Pass,Gary Barber,Roger Birnbaum,David Ellison,Herb Gains,Dana Goldberg,Erik Howsam,Paul Schwake,Stephen Sommers,,Jon M. Chu,,
